sor_id_account_id,transaction_date_transaction_id,category_id_transaction_date,transaction_id,account_id,sor_id,sor_cust_id,transaction_display_name,transaction_logo_url,category_id,category_display_name,transaction_type,transaction_amount,transaction_date,transaction_metadata,created_at,modified_at,ttl
7-98765432109,20230725~423236a4f6d643b7b6ce7c5de244a62f,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230725,423236a4f6d643b7b6ce7c5de244a62f,98765432109,7,555222222,Shake Shack,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-134.25,2023-07-25T18:12:28Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690308748,1690308748,0
7-98765432109,20230714~39f60b8c74d845ad9573c54f60eec54a,9aed0775-9cb6-4f1b-ba90-909b1faa9716~20230714,39f60b8c74d845ad9573c54f60eec54a,98765432109,7,555111111,Whole Foods,,9aed0775-9cb6-4f1b-ba90-909b1faa9716,Grocery,DEBIT_POSTED,-213.51,2023-07-14T18:48:46Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689360526,1689360526,0
7-98765432109,20230706~1fea59ded97649e6898fcb19dff974cf,818e5e04-1c30-4ec3-80b2-ea506235bc65~20230706,1fea59ded97649e6898fcb19dff974cf,98765432109,7,555111111,Marriott,,818e5e04-1c30-4ec3-80b2-ea506235bc65,Travel,DEBIT_POSTED,-395.19,2023-07-06T00:13:00Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1688602380,1688602380,0
7-98765432109,20230711~c93483bdcbf748ccbaac75e146d16c66,818e5e04-1c30-4ec3-80b2-ea506235bc65~20230711,c93483bdcbf748ccbaac75e146d16c66,98765432109,7,555111111,Uber,,818e5e04-1c30-4ec3-80b2-ea506235bc65,Travel,DEBIT_POSTED,-191.46,2023-07-11T11:10:25Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689073825,1689073825,0
7-98765432109,20230703~a88515f01c8b4d848dd1743a1c6be2f5,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230703,a88515f01c8b4d848dd1743a1c6be2f5,98765432109,7,555111111,Nobu,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-54.36,2023-07-03T23:01:36Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1688425296,1688425296,0
7-98765432109,20230728~1fc31ee80b6e4174a08d7424e404117d,91452010-672d-43ff-b791-82cc0408419a~20230728,1fc31ee80b6e4174a08d7424e404117d,98765432109,7,555111111,BabyGap,,91452010-672d-43ff-b791-82cc0408419a,Kids,DEBIT_POSTED,-52.18,2023-07-28T03:52:10Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690516330,1690516330,0
7-98765432109,20230711~b0b004914b21422bbc0da271909232aa,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8~20230711,b0b004914b21422bbc0da271909232aa,98765432109,7,555111111,New York Times,,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8,Subscriptions,DEBIT_POSTED,-20.21,2023-07-11T21:27:09Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689110829,1689110829,0
7-98765432109,20230731~fd498d9a27d64047aca69f5aca2f3f5f,818e5e04-1c30-4ec3-80b2-ea506235bc65~20230731,fd498d9a27d64047aca69f5aca2f3f5f,98765432109,7,555111111,Delta Air Lines,,818e5e04-1c30-4ec3-80b2-ea506235bc65,Travel,DEBIT_POSTED,-375.27,2023-07-31T09:53:27Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690797207,1690797207,0
7-98765432109,20230723~95d8a03b44ee4676a876183c64420485,91490896-5044-4d51-b539-de3fb7cf6eab~20230723,95d8a03b44ee4676a876183c64420485,98765432109,7,555111111,Regal Cinemas,,91490896-5044-4d51-b539-de3fb7cf6eab,Entertainment,DEBIT_POSTED,-145.45,2023-07-23T02:07:53Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690078073,1690078073,0
7-98765432109,20230723~3e9a87cc065c4a72bfbd14b4d67591e3,9aed0775-9cb6-4f1b-ba90-909b1faa9716~20230723,3e9a87cc065c4a72bfbd14b4d67591e3,98765432109,7,555222222,Kroger,,9aed0775-9cb6-4f1b-ba90-909b1faa9716,Grocery,DEBIT_POSTED,-201.12,2023-07-23T03:50:35Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690084235,1690084235,0
7-98765432109,20230702~348b4dc2a21c419ebfafb4ac4abe7b4a,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230702,348b4dc2a21c419ebfafb4ac4abe7b4a,98765432109,7,555222222,Chipotle,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-101.25,2023-07-02T13:39:35Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1688305175,1688305175,0
7-98765432109,20230711~1f048a85d0d44755bbb630f3fdfe16f3,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230711,1f048a85d0d44755bbb630f3fdfe16f3,98765432109,7,555111111,The French Laundry,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-96.91,2023-07-11T12:59:16Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689080356,1689080356,0
7-98765432109,20230728~e80ac93ee2dc46b89be90f26534f44c6,5679fe01-009f-40ed-9fd8-0c5986acb2fe~20230728,e80ac93ee2dc46b89be90f26534f44c6,98765432109,7,555111111,PG&E,,5679fe01-009f-40ed-9fd8-0c5986acb2fe,Utilities,DEBIT_POSTED,-288.73,2023-07-28T13:18:01Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690550281,1690550281,0
7-98765432109,20230723~faea84d2fbaf4c5b927787cac6d31ecc,b5c53165-295a-41f2-842b-b6ad44e3f62c~20230723,faea84d2fbaf4c5b927787cac6d31ecc,98765432109,7,555111111,Apple Store,,b5c53165-295a-41f2-842b-b6ad44e3f62c,Luxury Retail,DEBIT_POSTED,-424.89,2023-07-23T10:41:59Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690108919,1690108919,0
7-98765432109,20230704~a156a3450f6945cab99271acd885d8df,79ab14a4-37d7-419d-9f23-2e2e7ac69a8b~20230704,a156a3450f6945cab99271acd885d8df,98765432109,7,555222222,LensCrafters,,79ab14a4-37d7-419d-9f23-2e2e7ac69a8b,Healthcare,CREDIT_POSTED,350.55,2023-07-04T10:47:03Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1688467623,1688467623,0
7-98765432109,20230704~c4f4b9c1497046b6aedcb2be1c0a51d1,9aed0775-9cb6-4f1b-ba90-909b1faa9716~20230704,c4f4b9c1497046b6aedcb2be1c0a51d1,98765432109,7,555222222,Kroger,,9aed0775-9cb6-4f1b-ba90-909b1faa9716,Grocery,DEBIT_POSTED,-263.29,2023-07-04T04:17:36Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1688444256,1688444256,0
7-98765432109,20230722~c5b5bda1c58f4432a03675e5bda8ed31,818e5e04-1c30-4ec3-80b2-ea506235bc65~20230722,c5b5bda1c58f4432a03675e5bda8ed31,98765432109,7,555111111,Uber,,818e5e04-1c30-4ec3-80b2-ea506235bc65,Travel,DEBIT_POSTED,-352.43,2023-07-22T03:19:17Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689995957,1689995957,0
7-98765432109,20230701~510a11c8eb0c4b258bf68a88f27f89f0,b5c53165-295a-41f2-842b-b6ad44e3f62c~20230701,510a11c8eb0c4b258bf68a88f27f89f0,98765432109,7,555222222,Gucci,,b5c53165-295a-41f2-842b-b6ad44e3f62c,Luxury Retail,DEBIT_POSTED,-269.65,2023-07-01T06:07:03Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1688191623,1688191623,0
7-98765432109,20230703~5776297110124b14ab28a13ffda2509e,d7bc3757-76c9-459f-871c-96aa53cca4ef~20230703,5776297110124b14ab28a13ffda2509e,98765432109,7,555111111,Chevron,,d7bc3757-76c9-459f-871c-96aa53cca4ef,Fuel,DEBIT_POSTED,-61.33,2023-07-03T07:36:58Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1688369818,1688369818,0
7-98765432109,20230717~25b4ad6579fd4265943dcda179b448ed,d7bc3757-76c9-459f-871c-96aa53cca4ef~20230717,25b4ad6579fd4265943dcda179b448ed,98765432109,7,555111111,Mobil,,d7bc3757-76c9-459f-871c-96aa53cca4ef,Fuel,DEBIT_POSTED,-55.18,2023-07-17T15:58:23Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689609503,1689609503,0
7-98765432109,20230724~9c3ad935d2fa4dfaaac63e5e8b5246d3,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230724,9c3ad935d2fa4dfaaac63e5e8b5246d3,98765432109,7,555222222,Starbucks,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-130.35,2023-07-24T16:52:46Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690217566,1690217566,0
7-98765432109,20230730~ffe11e38784e43bb87d951593c97da90,5679fe01-009f-40ed-9fd8-0c5986acb2fe~20230730,ffe11e38784e43bb87d951593c97da90,98765432109,7,555111111,Con Edison,,5679fe01-009f-40ed-9fd8-0c5986acb2fe,Utilities,DEBIT_POSTED,-351.15,2023-07-30T03:45:59Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690688759,1690688759,0
7-98765432109,20230727~5a922c77bde24ecbbadf95a2560288a8,b5c53165-295a-41f2-842b-b6ad44e3f62c~20230727,5a922c77bde24ecbbadf95a2560288a8,98765432109,7,555222222,Gucci,,b5c53165-295a-41f2-842b-b6ad44e3f62c,Luxury Retail,DEBIT_POSTED,-673.67,2023-07-27T19:00:53Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690484453,1690484453,0
7-98765432109,20230718~a58608907f614f0bbd36e40679932686,91490896-5044-4d51-b539-de3fb7cf6eab~20230718,a58608907f614f0bbd36e40679932686,98765432109,7,555222222,Regal Cinemas,,91490896-5044-4d51-b539-de3fb7cf6eab,Entertainment,DEBIT_POSTED,-150.61,2023-07-18T10:30:53Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1689676253,1689676253,0
7-98765432109,20230723~e7978ed74e9a4031b0839f160f47245a,5679fe01-009f-40ed-9fd8-0c5986acb2fe~20230723,e7978ed74e9a4031b0839f160f47245a,98765432109,7,555222222,Comcast,,5679fe01-009f-40ed-9fd8-0c5986acb2fe,Utilities,DEBIT_POSTED,-198.72,2023-07-23T16:39:58Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690130398,1690130398,0
7-98765432109,20230723~6abf0ba853b441c38b0b1e960a83c0e5,91490896-5044-4d51-b539-de3fb7cf6eab~20230723,6abf0ba853b441c38b0b1e960a83c0e5,98765432109,7,555222222,Regal Cinemas,,91490896-5044-4d51-b539-de3fb7cf6eab,Entertainment,DEBIT_POSTED,-63.25,2023-07-23T21:42:47Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690148567,1690148567,0
7-98765432109,20230724~57a391c39d30455aa8d5243a7d70c103,818e5e04-1c30-4ec3-80b2-ea506235bc65~20230724,57a391c39d30455aa8d5243a7d70c103,98765432109,7,555222222,Marriott,,818e5e04-1c30-4ec3-80b2-ea506235bc65,Travel,DEBIT_POSTED,-411.11,2023-07-24T15:00:33Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690210833,1690210833,0
7-98765432109,20230730~13c5539b89a24fdd9307a2154840cc33,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8~20230730,13c5539b89a24fdd9307a2154840cc33,98765432109,7,555111111,New York Times,,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8,Subscriptions,DEBIT_POSTED,-15.78,2023-07-30T14:06:59Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690726019,1690726019,0
7-98765432109,20230731~857c45d04bfc460aa9cfdf52aa12f6ca,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8~20230731,857c45d04bfc460aa9cfdf52aa12f6ca,98765432109,7,555111111,Dropbox,,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8,Subscriptions,DEBIT_POSTED,-39.04,2023-07-31T21:47:52Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690840072,1690840072,0
7-98765432109,20230712~bf490d39083247eda00da6b9a60b2730,91490896-5044-4d51-b539-de3fb7cf6eab~20230712,bf490d39083247eda00da6b9a60b2730,98765432109,7,555222222,Netflix,,91490896-5044-4d51-b539-de3fb7cf6eab,Entertainment,DEBIT_POSTED,-178.29,2023-07-12T06:47:05Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1689144425,1689144425,0
7-98765432109,20230715~67450a99b63b4aec8c9af3729784f716,b5c53165-295a-41f2-842b-b6ad44e3f62c~20230715,67450a99b63b4aec8c9af3729784f716,98765432109,7,555111111,Apple Store,,b5c53165-295a-41f2-842b-b6ad44e3f62c,Luxury Retail,DEBIT_POSTED,-370.91,2023-07-15T05:38:17Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689399497,1689399497,0
7-98765432109,20230716~b52c19a187fc472f9a2fe1b51e2bc2fc,5679fe01-009f-40ed-9fd8-0c5986acb2fe~20230716,b52c19a187fc472f9a2fe1b51e2bc2fc,98765432109,7,555111111,Comcast,,5679fe01-009f-40ed-9fd8-0c5986acb2fe,Utilities,DEBIT_POSTED,-149.36,2023-07-16T03:00:34Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689476434,1689476434,0
7-98765432109,20230717~3c45b470dc3c4593818f9dbce754f398,91452010-672d-43ff-b791-82cc0408419a~20230717,3c45b470dc3c4593818f9dbce754f398,98765432109,7,555111111,Carter's,,91452010-672d-43ff-b791-82cc0408419a,Kids,DEBIT_POSTED,-61.46,2023-07-17T21:24:43Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689629083,1689629083,0
7-98765432109,20230711~2137412468e642cc9d9b6cc14df0915a,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230711,2137412468e642cc9d9b6cc14df0915a,98765432109,7,555111111,Shake Shack,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-18.3,2023-07-11T12:37:04Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689079024,1689079024,0
7-98765432109,20230719~0c9a7bb85efd48dc84ccfa9fab9ae5d1,9aed0775-9cb6-4f1b-ba90-909b1faa9716~20230719,0c9a7bb85efd48dc84ccfa9fab9ae5d1,98765432109,7,555111111,Wegmans,,9aed0775-9cb6-4f1b-ba90-909b1faa9716,Grocery,CREDIT_POSTED,185.01,2023-07-19T15:48:11Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689781691,1689781691,0
7-98765432109,20230809~195fa1dd1b5841dd9edff07847b5ffa4,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8~20230809,195fa1dd1b5841dd9edff07847b5ffa4,98765432109,7,555111111,Microsoft 365,,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8,Subscriptions,DEBIT_POSTED,-42.88,2023-08-09T21:48:29Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1691617709,1691617709,0
7-98765432109,20230811~9fa9a49a0f2c4bfc8ea3209cdea5d8a1,91490896-5044-4d51-b539-de3fb7cf6eab~20230811,9fa9a49a0f2c4bfc8ea3209cdea5d8a1,98765432109,7,555222222,Spotify,,91490896-5044-4d51-b539-de3fb7cf6eab,Entertainment,DEBIT_POSTED,-154.72,2023-08-11T08:22:28Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1691742148,1691742148,0
7-98765432109,20230826~acff5894bc624481b7e211d4903cf041,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230826,acff5894bc624481b7e211d4903cf041,98765432109,7,555111111,Sweetgreen,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-82.99,2023-08-26T04:46:25Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1693025185,1693025185,0
7-98765432109,20230813~5209fb324f3c4ccf8723051cfbeeff53,818e5e04-1c30-4ec3-80b2-ea506235bc65~20230813,5209fb324f3c4ccf8723051cfbeeff53,98765432109,7,555111111,Hilton,,818e5e04-1c30-4ec3-80b2-ea506235bc65,Travel,DEBIT_POSTED,-399.88,2023-08-13T02:15:45Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1691892945,1691892945,0
7-98765432109,20230813~a89fa8aeee8041a787f81a33225ab979,5679fe01-009f-40ed-9fd8-0c5986acb2fe~20230813,a89fa8aeee8041a787f81a33225ab979,98765432109,7,555111111,Comcast,,5679fe01-009f-40ed-9fd8-0c5986acb2fe,Utilities,DEBIT_POSTED,-275.01,2023-08-13T08:45:11Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1691916311,1691916311,0
7-98765432109,20230804~5408950fb8494ae1b9cab7ce9d799f1c,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8~20230804,5408950fb8494ae1b9cab7ce9d799f1c,98765432109,7,555111111,HBO Max,,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8,Subscriptions,DEBIT_POSTED,-16.34,2023-08-04T20:26:44Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1691180804,1691180804,0
7-98765432109,20230819~de65fae0a8e142cb9297648da7a5db54,5679fe01-009f-40ed-9fd8-0c5986acb2fe~20230819,de65fae0a8e142cb9297648da7a5db54,98765432109,7,555222222,PG&E,,5679fe01-009f-40ed-9fd8-0c5986acb2fe,Utilities,DEBIT_POSTED,-187.47,2023-08-19T09:19:53Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1692436793,1692436793,0
7-98765432109,20230807~f3926d6a12e94cec9154a0555fffd182,818e5e04-1c30-4ec3-80b2-ea506235bc65~20230807,f3926d6a12e94cec9154a0555fffd182,98765432109,7,555111111,United Airlines,,818e5e04-1c30-4ec3-80b2-ea506235bc65,Travel,DEBIT_POSTED,-143.55,2023-08-07T20:29:45Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1691440185,1691440185,0
7-98765432109,20230802~f98d55d75dd746c5949953c4c0696595,b5c53165-295a-41f2-842b-b6ad44e3f62c~20230802,f98d55d75dd746c5949953c4c0696595,98765432109,7,555222222,Tiffany & Co.,,b5c53165-295a-41f2-842b-b6ad44e3f62c,Luxury Retail,DEBIT_POSTED,-230.87,2023-08-02T02:24:40Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690943080,1690943080,0
7-98765432109,20230819~e2ca3be6c0414576a10a5697f5d73ae7,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230819,e2ca3be6c0414576a10a5697f5d73ae7,98765432109,7,555111111,Sweetgreen,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-125.8,2023-08-19T09:07:28Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1692436048,1692436048,0
7-98765432109,20230804~d66237bbd14a4dcd9fd5003a3c258452,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230804,d66237bbd14a4dcd9fd5003a3c258452,98765432109,7,555111111,Chipotle,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-80.38,2023-08-04T19:44:01Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1691178241,1691178241,0
7-98765432109,20230821~5d12ae452bdd4eaa85ba5c667181d712,5679fe01-009f-40ed-9fd8-0c5986acb2fe~20230821,5d12ae452bdd4eaa85ba5c667181d712,98765432109,7,555222222,Comcast,,5679fe01-009f-40ed-9fd8-0c5986acb2fe,Utilities,DEBIT_POSTED,-130.01,2023-08-21T13:02:03Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1692622923,1692622923,0
7-98765432109,20230804~d1dacb8c35b24d63b1f324582c3a5801,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8~20230804,d1dacb8c35b24d63b1f324582c3a5801,98765432109,7,555111111,Amazon Prime,,fe3ad80a-3d4a-4ca0-8e85-aca2340735c8,Subscriptions,DEBIT_POSTED,-17.99,2023-08-04T18:20:33Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1691173233,1691173233,0
7-98765432109,20230806~65602d1b2f1841c7847b9e2390a6b6e8,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230806,65602d1b2f1841c7847b9e2390a6b6e8,98765432109,7,555222222,Chipotle,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-110.83,2023-08-06T03:23:11Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1691292191,1691292191,0
7-98765432109,20230828~29449f945ea14c57b2429ed083bb8c83,5679fe01-009f-40ed-9fd8-0c5986acb2fe~20230828,29449f945ea14c57b2429ed083bb8c83,98765432109,7,555111111,Con Edison,,5679fe01-009f-40ed-9fd8-0c5986acb2fe,Utilities,DEBIT_POSTED,-216.95,2023-08-28T08:12:14Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1693210334,1693210334,0
7-98765432109,20230827~f37095c4148543a8b6f8768453c1efd9,91452010-672d-43ff-b791-82cc0408419a~20230827,f37095c4148543a8b6f8768453c1efd9,98765432109,7,555111111,Disney Store,,91452010-672d-43ff-b791-82cc0408419a,Kids,DEBIT_POSTED,-127.88,2023-08-27T17:36:26Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1693157786,1693157786,0
